archive,url,rows,checksum,checksum_verified
BTCUSDT-1d-2026-07-04.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-04.zip,1,d0ea71a2bb9e1c79755ced8c7459eb091c4c0d8cecb8c0f833b85dc3f216733d,true
BTCUSDT-1d-2026-07-05.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-05.zip,1,443b0d2a2f30c2c512c29b2c1a3e15e80ce2ce6ed5111b6eb58e68f9dd2ab73c,true
BTCUSDT-1d-2026-07-06.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-06.zip,1,37c50e85eaf9fdd6cb2131961cfbd0fb0db57f481a4bb213b012434abeccf0d1,true
BTCUSDT-1d-2026-07-07.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-07.zip,1,f24c612326b193ab1360980ff57dbfb76dcf960ba8e69d4b8acc7675fb9a4b9d,true
BTCUSDT-1d-2026-07-08.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-08.zip,1,fb4b3ddf821e7fb2d776f02a5fad608304f5990f28117014593d6de8c666f2cc,true
BTCUSDT-1d-2026-07-09.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-09.zip,1,967dd4d169548f7548c4666153ff0f3aa97b3bc1e1bc4aad38fa98cd5e0abe81,true
BTCUSDT-1d-2026-07-10.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-10.zip,1,eaed648cbd57afcd2ddf3555fd68a815f7f30531bb9f8f63eb9231c470b58e90,true
BTCUSDT-1d-2026-07-11.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-11.zip,1,fd1e3c5a1e6ef09c808787ece15f855180eecb6819ac486cdbe931620ba8b868,true
BTCUSDT-1d-2026-07-12.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-12.zip,1,380e7300eb5c4269ebe32f3a4ad4ca467893ad58524380a135241a1c5e6b8580,true
BTCUSDT-1d-2026-07-13.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-13.zip,1,04afc083b98df749dfd52d1ad2822393fc35c3b0e230054e682e13a6f865f8f5,true
BTCUSDT-1d-2026-07-14.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-14.zip,1,8c19a99bbb57da20a83d5e69b613765862d218b97ab609b6e6ad9b366355ae06,true
BTCUSDT-1d-2026-07-15.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-15.zip,1,a93b5e43b7b2c0dc69f522bea2ac412f76a0ac6df3ee04f027b50b49484987a2,true
BTCUSDT-1d-2026-07-16.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-16.zip,1,1e1cfc747389f76210e79a32b3944693a008a45b5361efba5c80b11b406739e8,true
BTCUSDT-1d-2026-07-17.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-17.zip,1,c7d5799c8c2516f69d2a05f8c919acba9bf576bd65f2301131556c71c905a973,true
BTCUSDT-1d-2026-07-18.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-18.zip,1,4f79f4ddabcb3e446a8774a8dccf9285507c769c96130273f8cc58adfabe80cb,true
BTCUSDT-1d-2026-07-19.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-19.zip,1,cf998b91c6afb6f03b5e0420b848f0c173791ecc02877eea8316184b41adbca4,true
BTCUSDT-1d-2026-07-20.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-20.zip,1,7f309faa4e97a59ccce81ac4ea6c16fb54210aafcea5b09133076166eec656d7,true
BTCUSDT-1d-2026-07-21.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-21.zip,1,9b9a00461f4610cf571ded8c58245078d0f119a29b429520c95639264729309f,true
BTCUSDT-1d-2026-07-22.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-22.zip,1,e2ab7c8ca0373d4edd4645e3a18bdf4731ec411458866899689a04da50d7717d,true
BTCUSDT-1d-2026-07-23.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-23.zip,1,3734c6b4f157da76e7e234c997f9142a1f2a1fc24ad7c407e8460ae69e238144,true
BTCUSDT-1d-2026-07-24.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-24.zip,1,638e8cf2501a622503049d5ad31f167ced786aa727526d3d33eed306223ef491,true
BTCUSDT-1d-2026-07-25.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-25.zip,1,8cf7440d2b832c820bb5153644d157303662ac1a924c8dc02b7dcc97fc892d37,true
BTCUSDT-1d-2026-07-26.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-26.zip,1,a9c181b4312634369e89b280da2aeb1499391e4d46959c28a99d4700fac897f8,true
BTCUSDT-1d-2026-07-27.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-27.zip,1,11284117049b571e69ba9fad534c75af9fcc02218529699b0c8f6978e2eda366,true
BTCUSDT-1d-2026-07-28.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-28.zip,1,59353fdfa3c535434a255436fea2c1a13f8a31be71b24fa2e5f5d41f765e5451,true
BTCUSDT-1d-2026-07-29.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-29.zip,1,93e90c6372af069407917e0ddc502018d03bbf8225014b7e9528a0621c672893,true
