window_s,sigma_mult,max_hold_s,n,win_rate,mean_r,median_r,total_r,max_r,min_r,mean_mfe_r,mean_cost_r,median_hold_s,stop_rate,p_ge_1r,p_ge_2r,p_ge_3r,p_ge_5r,p_ge_10r,profit_factor,stratum
5,6.0,86400,14,0.0,-1.7211560846343872,-1.4318938981333977,-24.09618518488142,-1.2240449290955637,-3.692066301786888,3.2302858633272455,0.6974261713022336,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_high
3,6.0,86400,14,0.0,-1.9611191380393629,-1.6931699812064307,-27.45566793255108,-1.4038701384423242,-3.692066301786888,3.9349889695051585,0.9362156067018949,66.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_high
10,4.0,86400,19,0.0,-1.4931112622535139,-1.2353961335368708,-28.369113982816764,-1.1296177644469823,-3.617075014341558,3.3134541083808466,0.4742928495504022,105.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_high
10,6.0,86400,17,0.0,-1.3407914038240019,-1.2340826002307566,-22.793453865008033,-1.1248368294319329,-3.617075014341558,2.0510896591039933,0.33311703636709017,105.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_high
3,4.0,900,353,0.0028328611898017,-0.9334711906087226,-1.0514614509602804,-329.5153302848791,1.2236132624929668,-2.2460181639000707,0.9164946266727085,0.650909662918729,900.0,0.28328611898017,0.0028328611898017,0.0,0.0,0.0,0.0,0.0036996346706831256,align_x_vol:with_trend|vol_normal
5,4.0,900,336,0.0,-0.8302505848258871,-1.0620664434734206,-278.96419650149807,-0.19455159642379283,-2.2076654760789767,0.6105767052533885,0.5150758470046671,900.0,0.30952380952380953,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_normal
3,6.0,900,270,0.003703703703703704,-0.8773240753181676,-0.38269701471875484,-236.87750033590524,0.40802275970331564,-2.2211719068297064,0.8320617962109589,0.5382171593626607,900.0,0.337037037037037,0.0,0.0,0.0,0.0,0.0,0.001719543419169793,align_x_vol:with_trend|vol_normal
10,4.0,900,359,0.002785515320334262,-0.6727737408697786,-0.31257960833562765,-241.5257729722505,0.12113429834283787,-2.235693721934945,0.486591777982434,0.38442908245076524,900.0,0.27298050139275765,0.0,0.0,0.0,0.0,0.0,0.0005012863591388452,align_x_vol:with_trend|vol_normal
5,6.0,900,293,0.0,-0.6787437895689306,-0.22799698604756788,-198.87193034369665,-0.1971949196077952,-2.246241282681711,0.5144636774962109,0.3372745735230534,900.0,0.33447098976109213,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_normal
10,6.0,900,292,0.00684931506849315,-0.5471935551795255,-0.13006030161654292,-159.78051811242145,0.7985401765353728,-1.2604038741395374,0.2533377505947185,0.2336520545914324,900.0,0.2876712328767123,0.0,0.0,0.0,0.0,0.0,0.00593035087926991,align_x_vol:with_trend|vol_normal
10,6.0,3600,292,0.003424657534246575,-0.8245022717381152,-1.0392868274104758,-240.75466334752963,0.13785742938071052,-2.242890198796082,0.6298936388917491,0.2336520545914324,3600.0,0.4383561643835616,0.0,0.0,0.0,0.0,0.0,0.0005722777483339956,align_x_vol:with_trend|vol_normal
5,4.0,3600,336,0.005952380952380952,-1.0984556798473255,-1.2292585907913507,-369.0811084287014,1.3839930316268074,-2.249483050809932,1.8456648794232802,0.5150758470046671,2731.5,0.5773809523809523,0.002976190476190476,0.0,0.0,0.0,0.0,0.0052980190087074195,align_x_vol:with_trend|vol_normal
5,6.0,3600,293,0.010238907849829351,-0.894055535742229,-1.226370051465087,-261.9582719724731,1.3844215561968116,-2.249483050809932,1.0490361397358332,0.3372745735230534,3002.0,0.5563139931740614,0.0034129692832764505,0.0,0.0,0.0,0.0,0.009919949821253653,align_x_vol:with_trend|vol_normal
10,4.0,3600,359,0.0,-0.9476250246923268,-1.1106092644598522,-340.1973838645453,-0.052303819036665956,-2.242890198796082,1.2523805691810048,0.38442908245076524,3600.0,0.4373259052924791,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|vol_normal
