window_s,sigma_mult,max_hold_s,n,win_rate,mean_r,median_r,total_r,max_r,min_r,mean_mfe_r,mean_cost_r,median_hold_s,stop_rate,p_ge_1r,p_ge_2r,p_ge_3r,p_ge_5r,p_ge_10r,profit_factor,stratum
3,4.0,3600,884,0.16515837104072398,-1.2849175728806352,-2.1200526935574002,-1135.8671344264815,14.980912816384045,-7.716441845020008,3.6208016748026406,1.387153135240822,914.5,0.7126696832579186,0.1165158371040724,0.09049773755656108,0.07239819004524888,0.05090497737556561,0.011312217194570135,0.3214452700026298,align_x_vol:unknown|unknown
3,4.0,14400,884,0.13009049773755657,-1.3251546987936715,-2.1610549353235413,-1171.4367537336057,22.880210540758657,-7.716441845020008,6.825642236829941,1.387153135240822,914.5,0.833710407239819,0.09954751131221719,0.07918552036199095,0.07013574660633484,0.05542986425339366,0.030542986425339366,0.3641889003262383,align_x_vol:unknown|unknown
3,4.0,86400,884,0.07352941176470588,-0.9063571077545839,-2.2042687012728415,-801.2196832550521,218.646025941726,-7.716441845020008,30.349209130560098,1.387153135240822,914.5,0.9253393665158371,0.07352941176470588,0.07126696832579185,0.06561085972850679,0.05542986425339366,0.053167420814479636,0.6044067208541111,align_x_vol:unknown|unknown
3,6.0,900,264,0.12121212121212122,-1.6282855387965758,-2.0316483976409536,-429.867382242296,11.640862136990656,-7.716441845020008,1.7844417284996617,1.6655557186442655,900.0,0.4734848484848485,0.06439393939393939,0.041666666666666664,0.030303030303030304,0.015151515151515152,0.003787878787878788,0.13306174634009632,align_x_vol:unknown|unknown
3,6.0,3600,264,0.16666666666666666,-1.6342036852334094,-2.1433641955555824,-431.4297729016201,11.49887989469715,-7.716441845020008,3.00850308844626,1.6655557186442655,1093.0,0.6856060606060606,0.10606060606060606,0.07575757575757576,0.056818181818181816,0.03787878787878788,0.007575757575757576,0.2294117161242991,align_x_vol:unknown|unknown
3,6.0,14400,264,0.11742424242424243,-1.7375600662501876,-2.2452233522451914,-458.71585749004953,19.923272109576686,-7.716441845020008,5.941840802268129,1.6655557186442655,1093.0,0.8371212121212122,0.07575757575757576,0.056818181818181816,0.05303030303030303,0.045454545454545456,0.030303030303030304,0.26713180595684044,align_x_vol:unknown|unknown
3,6.0,86400,264,0.056818181818181816,-1.3537574605353302,-2.3200741336806137,-357.39196958132715,73.98258658347699,-7.716441845020008,25.254350807743453,1.6655557186442655,1093.0,0.9431818181818182,0.056818181818181816,0.056818181818181816,0.05303030303030303,0.05303030303030303,0.05303030303030303,0.480939971359874,align_x_vol:unknown|unknown
5,4.0,900,608,0.15460526315789475,-1.3471491088997614,-2.1054657066573093,-819.0666582110549,11.640862136990656,-6.965872321579972,2.0988873788624387,1.460573070955754,884.5,0.5049342105263158,0.10032894736842106,0.05592105263157895,0.03289473684210526,0.01644736842105263,0.004934210526315789,0.19849929340420688,align_x_vol:unknown|unknown
5,4.0,3600,608,0.1825657894736842,-1.2485600719294712,-2.1429482159874302,-759.1245237331185,14.093485094412042,-7.003516265872068,3.9570894742995137,1.460573070955754,884.5,0.7154605263157895,0.13651315789473684,0.11019736842105263,0.0805921052631579,0.054276315789473686,0.011513157894736841,0.3579192398757021,align_x_vol:unknown|unknown
5,4.0,14400,608,0.13651315789473684,-1.3126110626886225,-2.1873864283850954,-798.0675261146824,24.03770099091036,-7.003516265872068,7.056826588769513,1.460573070955754,884.5,0.837171052631579,0.10197368421052631,0.08388157894736842,0.07894736842105263,0.06414473684210527,0.03453947368421053,0.39357404752053804,align_x_vol:unknown|unknown
5,4.0,86400,608,0.05921052631578947,-1.2990204322130552,-2.261495362796926,-789.8044227855376,78.52298872814725,-7.003516265872068,29.85468167154344,1.460573070955754,884.5,0.9407894736842105,0.05921052631578947,0.05756578947368421,0.05592105263157895,0.05098684210526316,0.049342105263157895,0.4595458928023922,align_x_vol:unknown|unknown
5,6.0,900,162,0.1111111111111111,-1.925102894220443,-2.1056411164056286,-311.86666886371177,4.492549000159225,-7.716441845020008,1.9066752290112985,1.8483689571580504,893.0,0.5,0.05555555555555555,0.043209876543209874,0.012345679012345678,0.0,0.0,0.07200193048092132,align_x_vol:unknown|unknown
5,6.0,3600,162,0.1419753086419753,-2.0383504168849598,-2.3044649631640857,-330.21276753536347,6.517676522278047,-7.716441845020008,3.106862012467588,1.8483689571580504,938.5,0.7037037037037037,0.06172839506172839,0.043209876543209874,0.030864197530864196,0.018518518518518517,0.0,0.11417783208837376,align_x_vol:unknown|unknown
5,6.0,14400,162,0.06172839506172839,-2.2824903855023244,-2.457210548029558,-369.7634424513766,19.923272109576686,-7.716441845020008,5.643581483186336,1.8483689571580504,938.5,0.8765432098765432,0.043209876543209874,0.037037037037037035,0.037037037037037035,0.024691358024691357,0.018518518518518517,0.13781062548839987,align_x_vol:unknown|unknown
5,6.0,86400,162,0.030864197530864196,-2.3836382845102344,-2.5265680899991043,-386.149402090658,26.278284148006144,-7.716441845020008,23.840619481293256,1.8483689571580504,938.5,0.9691358024691358,0.030864197530864196,0.030864197530864196,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.16093108167935566,align_x_vol:unknown|unknown
10,4.0,900,364,0.18406593406593408,-1.1846203175736074,-1.575681435770826,-431.2017955967931,12.948296023387101,-6.965872321579972,2.3128171754148616,1.4501026512981594,900.0,0.46153846153846156,0.11813186813186813,0.06593406593406594,0.038461538461538464,0.02197802197802198,0.0027472527472527475,0.24877427369246236,align_x_vol:unknown|unknown
10,4.0,3600,364,0.19505494505494506,-1.2419099318900548,-2.1184059223378746,-452.0552152079799,14.093485094412042,-7.003516265872068,3.991186925925316,1.4501026512981594,1136.0,0.6785714285714286,0.12912087912087913,0.0989010989010989,0.07417582417582418,0.054945054945054944,0.005494505494505495,0.34034595088393027,align_x_vol:unknown|unknown
10,4.0,14400,364,0.10989010989010989,-1.626845461903375,-2.1907549470445904,-592.1717481328285,16.28016098674466,-7.003516265872068,6.491700695162968,1.4501026512981594,1136.0,0.8516483516483516,0.08241758241758242,0.06593406593406594,0.06318681318681318,0.054945054945054944,0.016483516483516484,0.2587218404621687,align_x_vol:unknown|unknown
10,4.0,86400,364,0.04120879120879121,-1.7069786348308993,-2.249906203252314,-621.3402230784474,49.155513796020045,-7.003516265872068,30.44730320481188,1.4501026512981594,1136.0,0.9587912087912088,0.04120879120879121,0.04120879120879121,0.038461538461538464,0.038461538461538464,0.03571428571428571,0.2975139087528734,align_x_vol:unknown|unknown
10,6.0,900,86,0.18604651162790697,-1.409639601769166,-1.337967240907324,-121.22900575214827,4.704230077780789,-7.850476910782262,2.039121823196885,1.569313618324252,900.0,0.3953488372093023,0.09302325581395349,0.03488372093023256,0.011627906976744186,0.0,0.0,0.13628045265936867,align_x_vol:unknown|unknown
10,6.0,3600,86,0.20930232558139536,-1.4519096756232412,-2.105471440300567,-124.86423210359874,7.000725500217458,-7.850476910782262,3.0100192933690555,1.569313618324252,1835.5,0.6162790697674418,0.12790697674418605,0.08139534883720931,0.05813953488372093,0.023255813953488372,0.0,0.23696367826570877,align_x_vol:unknown|unknown
10,6.0,14400,86,0.09302325581395349,-1.9647052919989494,-2.228934716455388,-168.96465511190965,10.281354422689319,-7.850476910782262,4.874202698341279,1.569313618324252,1835.5,0.8372093023255814,0.05813953488372093,0.046511627906976744,0.03488372093023256,0.03488372093023256,0.011627906976744186,0.15737745544155674,align_x_vol:unknown|unknown
10,6.0,86400,86,0.05813953488372093,-1.1441770732252097,-2.260827061004493,-98.39922829736804,49.155513796020045,-7.850476910782262,24.564556563984603,1.569313618324252,1835.5,0.9418604651162791,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.046511627906976744,0.5414064303243067,align_x_vol:unknown|unknown
3,4.0,900,1102,0.13702359346642468,-1.5213202010271372,-2.111190815381282,-1676.4948615319051,18.489799853343495,-11.341542749892938,2.453978147790258,1.5247451030343107,505.0,0.5943738656987296,0.0780399274047187,0.05716878402903811,0.041742286751361164,0.025408348457350273,0.007259528130671506,0.19679171912068608,align_x_vol:with_trend|unknown
3,4.0,3600,1102,0.13702359346642468,-1.2288109531648046,-2.179135205884848,-1354.1496703876146,134.89683976886445,-11.341542749892938,5.474991477058986,1.5247451030343107,505.0,0.7931034482758621,0.09800362976406533,0.07531760435571688,0.0662431941923775,0.04627949183303085,0.024500907441016333,0.4265700839862002,align_x_vol:with_trend|unknown
3,4.0,14400,1102,0.07622504537205081,-1.0927927616365014,-2.2231996658186617,-1204.2576233234245,138.8810216115046,-11.341542749892938,13.012801798441197,1.5247451030343107,505.0,0.9092558983666061,0.06533575317604355,0.06170598911070781,0.05535390199637023,0.04446460980036298,0.030852994555353903,0.5380708275796636,align_x_vol:with_trend|unknown
